,S&P 500,VIX
2018-06-19,2762.590087890625,13.350000381469728
2018-06-20,2767.320068359375,12.789999961853027
2018-06-21,2749.760009765625,14.640000343322754
2018-06-22,2754.8798828125,13.770000457763672
2018-06-25,2717.070068359375,17.329999923706055
2018-06-26,2723.06005859375,15.920000076293944
2018-06-27,2699.6298828125,17.90999984741211
2018-06-28,2716.31005859375,16.850000381469727
2018-06-29,2718.3701171875,16.09000015258789
2018-07-02,2726.7099609375,15.600000381469728
2018-07-03,2713.219970703125,16.139999389648438
2018-07-04,2713.219970703125,16.139999389648438
2018-07-05,2736.610107421875,14.970000267028809
2018-07-06,2759.820068359375,13.369999885559082
2018-07-09,2784.169921875,12.6899995803833
2018-07-10,2793.840087890625,12.640000343322754
2018-07-11,2774.02001953125,13.630000114440918
2018-07-12,2798.2900390625,12.579999923706056
2018-07-13,2801.31005859375,12.18000030517578
2018-07-16,2798.429931640625,12.829999923706056
2018-07-17,2809.550048828125,12.0600004196167
2018-07-18,2815.6201171875,12.100000381469728
2018-07-19,2804.489990234375,12.869999885559082
2018-07-20,2801.830078125,12.859999656677246
2018-07-23,2806.97998046875,12.619999885559082
2018-07-24,2820.39990234375,12.40999984741211
2018-07-25,2846.070068359375,12.289999961853027
2018-07-26,2837.43994140625,12.140000343322754
2018-07-27,2818.820068359375,13.029999732971191
2018-07-30,2802.60009765625,14.260000228881836
2018-07-31,2816.2900390625,12.829999923706056
2018-08-01,2813.360107421875,13.149999618530272
2018-08-02,2827.219970703125,12.1899995803833
2018-08-03,2840.35009765625,11.640000343322754
2018-08-06,2850.39990234375,11.270000457763672
2018-08-07,2858.449951171875,10.93000030517578
2018-08-08,2857.699951171875,10.850000381469728
2018-08-09,2853.580078125,11.270000457763672
2018-08-10,2833.280029296875,13.15999984741211
2018-08-13,2821.929931640625,14.779999732971191
2018-08-14,2839.9599609375,13.3100004196167
2018-08-15,2818.3701171875,14.640000343322754
2018-08-16,2840.68994140625,13.449999809265137
2018-08-17,2850.1298828125,12.640000343322754
2018-08-20,2857.050048828125,12.489999771118164
2018-08-21,2862.9599609375,12.859999656677246
2018-08-22,2861.820068359375,12.25
2018-08-23,2856.97998046875,12.40999984741211
2018-08-24,2874.68994140625,11.989999771118164
2018-08-27,2896.739990234375,12.15999984741211
2018-08-28,2897.52001953125,12.5
2018-08-29,2914.0400390625,12.25
2018-08-30,2901.1298828125,13.529999732971191
2018-08-31,2901.52001953125,12.859999656677246
2018-09-03,2901.52001953125,12.859999656677246
2018-09-04,2896.719970703125,13.15999984741211
2018-09-05,2888.60009765625,13.90999984741211
2018-09-06,2878.050048828125,14.649999618530272
2018-09-07,2871.679931640625,14.880000114440918
2018-09-10,2877.1298828125,14.15999984741211
2018-09-11,2887.889892578125,13.220000267028809
2018-09-12,2888.919921875,13.140000343322754
2018-09-13,2904.179931640625,12.369999885559082
2018-09-14,2904.97998046875,12.06999969482422
2018-09-17,2888.800048828125,13.68000030517578
2018-09-18,2904.31005859375,12.789999961853027
2018-09-19,2907.949951171875,11.75
2018-09-20,2930.75,11.800000190734863
2018-09-21,2929.669921875,11.68000030517578
2018-09-24,2919.3701171875,12.199999809265137
2018-09-25,2915.56005859375,12.420000076293944
2018-09-26,2905.969970703125,12.890000343322754
2018-09-27,2914.0,12.40999984741211
