,SPY,IVV,VTI,VOO,QQQ,VEA,IEFA,AGG,IEMG,VTV,VWO,BND,VUG,IJR,IWM,IWF,IJH,VIG,GLD,EFA,IWD,VO,VXUS,VB,VCIT,VGT,XLF,LQD,BNDX,VCSH,XLK,ITOT,VNQ,VYM,VEU,IVW,BSV,EEM,DIA,SCHX,USMV,IWR,IWB,IAU,IXUS,TIP,RSP,XLV,SCHF,MBB,IGSB,XLE,SCHD,VBR,VV,IVE,MUB,MDY,HYG,XLI,ARKK,SCHB,VT,QUAL,XLY,SDY,SHY,EMB,PFF,DVY,DGRO,VGK,ESGU,SCHP,JPST,IWN,ACWI,GOVT,VXF,SCHA,VLUE,VBK,GDX,SLV,SHV,VMBS,IWP,MINT,VHT,SCZ,BIV,MTUM,VOE,SCHG,IWS,IEF,EFV,XLC,VTIP,IUSB
2018-06-19,261.835693359375,262.4577331542969,135.8433837890625,240.2408142089844,172.5492401123047,40.033050537109375,59.67290115356445,98.47425842285156,49.43839263916016,97.44364166259766,39.79191970825195,73.31575012207031,148.73023986816406,82.3008804321289,162.162109375,142.67027282714844,190.1319732666016,97.95016479492188,120.8000030517578,63.14459609985352,113.86495971679688,153.57847595214844,50.57167434692383,153.02369689941406,76.11287689208984,181.61415100097656,25.73050880432129,104.58067321777344,50.822879791259766,72.49137878417969,68.89778137207031,60.37638473510742,70.80269622802734,76.7044448852539,48.55772018432617,40.132118225097656,73.77375030517578,41.35534286499024,232.5673065185547,62.58046722412109,50.4552116394043,51.45803451538086,146.46253967285156,12.229999542236328,56.66437149047852,106.59347534179688,98.19660949707033,80.5781021118164,30.66082191467285,96.861083984375,47.95418930053711,63.92065048217773,45.55467224121094,130.545166015625,120.41680908203124,103.6493682861328,101.83585357666016,348.8147277832031,74.19237518310547,69.34198760986328,45.05348205566406,63.633262634277344,69.94534301757812,81.11430358886719,108.14251708984376,85.92601013183594,79.78728485107422,92.5068359375,32.27509689331055,88.19925689697266,32.526763916015625,52.070777893066406,57.84146499633789,51.81298828125,47.36215972900391,127.13668060302734,68.4601821899414,23.195518493652344,116.3930435180664,72.72626495361328,78.80389404296875,177.79025268554688,21.666400909423828,15.359999656677246,105.97027587890624,47.93844223022461,64.03109741210938,96.13735961914062,155.44247436523438,59.55413818359375,74.16310119628906,109.35421752929688,104.24834442138672,75.49894714355469,83.52072143554688,97.31092071533205,47.257755279541016,48.73029708862305,46.26472473144531,45.42373275756836
2018-06-20,262.2823791503906,263.00396728515625,136.15576171875,240.67550659179688,173.7747344970703,40.11555099487305,59.63553237915039,98.28845977783205,49.671024322509766,97.40682220458984,39.9208984375,73.14881134033203,149.39976501464844,82.94227600097656,163.4700927734375,143.17506408691406,191.0753326416016,97.96906280517578,120.26000213623048,63.19135284423828,113.902099609375,154.23526000976562,50.71866226196289,154.08660888671875,75.9122314453125,182.1164703369141,25.66465377807617,103.99659729003906,50.83216094970703,72.44490814208984,69.04244995117188,60.54647445678711,71.59239959716797,76.68632507324219,48.63120651245117,40.2692985534668,73.71712493896484,41.534324645996094,232.17166137695312,62.72195053100586,50.42696762084961,51.66040802001953,146.7942657470703,12.18000030517578,56.795448303222656,106.29935455322266,98.47233581542967,80.74900817871094,30.70689392089844,96.66535186767578,47.93105316162109,64.20289611816406,45.54561996459961,131.28721618652344,120.65314483642578,103.6401138305664,101.78910064697266,350.5291748046875,74.27002716064453,69.38932800292969,45.95607376098633,63.83146667480469,70.18852233886719,81.0289077758789,108.65528106689452,86.1294174194336,79.74896240234375,92.70722198486328,32.23216247558594,88.26181030273438,32.49890899658203,52.0798225402832,58.04567337036133,51.66132736206055,47.36215972900391,128.03343200683594,68.6218032836914,23.13880729675293,117.10245513916016,73.24394226074219,78.93302154541016,179.19461059570312,21.53866577148437,15.34000015258789,105.96067810058594,47.86368560791016,64.29045104980469,96.13735961914062,156.1287841796875,59.50740432739258,73.97018432617188,109.95207214355467,104.54553985595705,75.81051635742188,83.85751342773438,96.99654388427734,47.22111129760742,49.33504486083984,46.23622894287109,45.36843490600586
2018-06-21,260.6381530761719,261.1861877441406,135.21865844726562,239.1731109619141,172.26492309570312,39.84053802490234,59.252532958984375,98.31632995605467,48.99174118041992,96.87278747558594,39.35889434814453,73.18590545654297,148.19654846191406,82.11898803710938,161.94093322753906,142.15577697753906,189.7507476806641,97.4777603149414,120.0500030517578,62.74245834350586,113.22444915771484,153.06448364257812,50.25015258789063,152.5832061767578,75.87574768066406,180.50328063964844,25.58938980102539,103.91445922851562,50.85074615478516,72.46349334716797,68.51194763183594,60.12122344970703,71.93340301513672,76.17888641357422,48.23627853393555,39.99009704589844,73.75486755371094,40.95027160644531,230.32530212402344,62.306941986083984,50.2857666015625,51.29376220703125,145.7705841064453,12.149999618530272,56.3085823059082,106.48908233642578,97.90186309814452,80.28372192382812,30.47657012939453,96.7305908203125,47.9449348449707,63.01409912109375,45.337528228759766,130.31031799316406,119.85906219482422,103.06515502929688,101.9199676513672,348.0730285644531,74.11470794677734,68.51817321777344,44.863468170166016,63.3501205444336,69.6086196899414,80.41231536865234,107.88131713867188,85.66712951660156,79.79683685302734,93.0469970703125,32.21497344970703,87.80620574951172,32.331825256347656,51.63693237304688,57.69355392456055,51.765602111816406,47.37158584594727,127.07062530517578,68.10841369628906,23.186071395874023,115.96163177490234,72.46741485595703,78.37041473388672,177.16175842285156,21.528839111328125,15.359999656677246,105.99911499023438,47.901065826416016,63.75217056274414,96.13735961914062,155.03257751464844,58.98393249511719,74.0160903930664,108.93955993652344,103.98831176757812,75.27499389648438,83.34297943115234,97.25376892089844,46.79965591430664,49.03266906738281,46.26472473144531,45.39607620239258
2018-06-22,261.1133728027344,261.7230834960937,135.41162109375,239.5983123779297,171.88259887695312,40.26753616333008,59.92512130737305,98.4092254638672,49.46630859375,97.17660522460938,39.67881393432617,73.2322998046875,148.12750244140625,82.099853515625,161.40231323242188,141.96165466308594,189.88414001464844,97.78012084960938,120.33999633789062,63.40645599365234,113.69788360595705,153.0749969482422,50.78230285644531,152.48915100097656,75.9122314453125,179.5469512939453,25.467090606689453,104.04224395751952,50.86003875732422,72.46349334716797,68.29010772705078,60.16847229003906,72.49874114990234,76.56232452392578,48.78733825683594,39.92753219604492,73.7643051147461,41.37417984008789,231.4462738037109,62.40127182006836,50.46461868286133,51.32234191894531,145.9601593017578,12.18000030517578,56.88907623291016,106.64090728759766,98.1585693359375,80.64456176757812,30.80823135375977,96.74923706054688,47.93568801879883,64.27131652832031,45.54561996459961,130.5111541748047,120.0727081298828,103.57518768310548,101.81715393066406,348.3716125488281,74.12334442138672,68.7549057006836,44.28390884399414,63.46337127685547,70.02417755126953,80.46925354003906,107.6974868774414,85.99999237060547,79.80642700195312,93.56970977783205,32.26650619506836,88.0741958618164,32.39680099487305,52.33747100830078,57.82142639160156,51.83195114135742,47.37158584594727,127.2782745361328,68.46968841552734,23.195518493652344,115.78907775878906,72.3907241821289,78.35194396972656,176.5924072265625,21.79414367675781,15.5,105.99911499023438,47.91975784301758,63.54175567626953,96.1562957763672,155.4615478515625,59.62892532348633,74.08039093017578,108.14881134033205,104.2738265991211,75.19709777832031,83.6423568725586,97.2728042602539,47.41350936889648,49.247257232666016,46.31221389770508,45.41451644897461
2018-06-25,257.558837890625,258.1535949707031,133.51043701171875,236.28170776367188,168.01002502441406,39.701297760009766,59.065704345703125,98.35350036621094,48.861473083496094,96.3521957397461,39.15952301025391,73.22303009033203,145.27664184570312,80.82660675048828,158.76710510253906,139.41824340820312,187.13015747070312,97.00536346435548,119.88999938964844,62.5273666381836,112.6489028930664,150.91632080078125,50.08576965332031,150.0030059814453,75.88483428955078,175.3932342529297,25.194263458251957,103.94183349609376,50.77641677856445,72.45420837402344,66.87223052978516,59.3463249206543,72.31031036376953,75.95063781738281,48.06250381469727,39.22231674194336,73.79264068603516,40.8183822631836,228.26226806640625,61.55240631103516,50.26694107055664,50.667625427246094,143.9886474609375,12.140000343322754,56.121315002441406,106.68833923339844,97.08419799804688,79.90391540527344,30.37522315979004,96.7865219116211,47.95880508422852,62.97989273071289,45.20180892944336,128.90838623046875,118.42996978759766,102.7034912109375,101.85454559326172,343.4014892578125,73.95079803466797,67.88374328613281,43.029781341552734,62.5761604309082,69.02531433105469,79.44477844238281,105.3562469482422,85.76882934570312,79.83515930175781,93.14280700683594,32.23216247558594,87.95806884765625,32.13687896728516,51.58161926269531,56.69160079956055,51.841426849365234,47.376312255859375,125.871826171875,67.49996948242188,23.20497131347656,113.91007232666016,71.1635971069336,77.23593139648438,172.96377563476562,21.627099990844727,15.369999885559082,106.00870513916016,47.94778060913086,62.35263442993164,96.18472290039062,153.78384399414062,58.82501983642578,74.10794067382812,105.71871185302734,103.3593978881836,73.89237976074219,82.8565444946289,97.40617370605467,46.79049301147461,48.23286437988281,46.3027229309082,45.386863708496094
2018-06-26,258.1291198730469,258.7696228027344,133.81463623046875,236.8014068603516,168.69630432128906,39.74771118164063,59.14044189453125,98.51142120361328,48.638145446777344,96.30589294433594,39.00188827514648,73.34357452392578,145.98692321777344,81.322998046875,159.69036865234375,139.92306518554688,187.45362854003903,97.01478576660156,119.26000213623048,62.63959503173828,112.71387481689452,151.13601684570312,50.15077590942383,150.7325439453125,76.05814361572266,176.32057189941406,25.10958671569824,104.28866577148438,50.77641677856445,72.53779602050781,67.14228057861328,59.47821807861328,72.54361724853516,75.8502197265625,48.09966659545898,39.35991668701172,73.82093048095703,40.658233642578125,228.6013336181641,61.67462158203125,50.2205696105957,50.70571517944336,144.2729949951172,12.06999969482422,56.15876770019531,106.84014892578124,97.17928314208984,79.65704345703125,30.41207504272461,96.88906860351562,47.9865608215332,63.7752799987793,45.09782791137695,129.21009826660156,118.64836120605467,102.74362182617188,101.83585357666016,343.9313049316406,73.94214630126953,68.139404296875,43.4858283996582,62.71551132202149,69.10070037841797,79.5372085571289,106.11087036132812,85.73184204101562,79.83515930175781,93.01213836669922,32.27509689331055,88.07695770263672,32.109825134277344,51.53553771972656,57.261627197265625,51.90777969360352,47.37158584594727,126.44766235351562,67.59503936767578,23.21442604064941,114.42776489257812,71.54508972167969,77.34630584716797,174.16348266601562,21.56814193725586,15.329999923706056,106.0182876586914,47.95712661743164,62.4260368347168,96.1752700805664,153.44068908691406,58.881107330322266,74.21814727783203,106.21205139160156,103.4340362548828,74.13536071777344,82.98750305175781,97.45379638671876,47.001224517822266,48.31283187866211,46.34071350097656,45.4052848815918
2018-06-27,255.9907073974609,256.5458984375,132.56936645507812,234.83599853515625,166.4021759033203,39.38569259643555,58.60797882080078,98.68791198730467,47.68901443481445,95.72232818603516,38.13951110839844,73.51978302001953,144.32310485839844,80.18045043945312,157.13211059570312,138.1951446533203,185.4054718017578,96.16444396972656,118.58000183105467,62.050418853759766,112.0733413696289,149.52178955078125,49.52853012084961,148.65916442871094,76.24057006835938,173.61582946777344,24.799131393432617,104.64459228515624,50.87861633300781,72.63069915771484,66.22596740722656,58.9278450012207,72.26543426513672,75.43025207519531,47.52351760864258,38.90366363525391,73.90592956542969,39.876346588134766,227.1412048339844,61.13454055786133,49.86089706420898,50.184326171875,143.02182006835938,12.0,55.465911865234375,107.1911849975586,96.3140640258789,78.98286437988281,30.18174934387207,97.07547760009766,47.99581909179688,64.63050842285156,44.76944351196289,127.6544952392578,117.63232421875,102.32360076904295,101.98542022705078,340.1747741699219,73.7868423461914,67.59020233154297,42.23170471191406,62.11831665039063,68.45050811767578,78.7653579711914,104.73707580566406,85.2972640991211,79.88306427001953,92.82918548583984,32.24933242797852,87.8517837524414,31.84845542907715,51.09309005737305,56.99338150024414,52.087886810302734,47.38103485107422,124.8052215576172,66.93905639648438,23.308950424194336,112.76924896240234,70.40153503417969,76.74342346191406,171.2822265625,21.430578231811523,15.119999885559082,106.02789306640624,48.04123306274414,61.4718132019043,96.19420623779295,151.65817260742188,58.24546432495117,74.42941284179688,104.73204040527344,102.57559204101562,73.35469055175781,82.37007904052734,97.82532501220705,46.58892440795898,47.8914680480957,46.3976936340332,45.48823547363281
2018-06-28,257.454345703125,258.154541015625,133.39639282226562,236.26663208007807,167.83352661132812,39.52492904663086,58.76678085327149,98.67860412597656,48.04261779785156,96.12989044189452,38.50114822387695,73.46415710449219,145.55880737304688,80.39167785644531,157.6129913330078,139.37942504882812,186.20944213867188,96.30316162109376,118.22000122070312,62.284217834472656,112.61176300048828,150.35275268554688,49.77928924560547,149.4462890625,76.18585968017578,175.5995330810547,25.0155086517334,104.50765991210938,50.76712417602539,72.61212158203125,67.03619384765625,59.27894973754883,72.91152954101562,75.7497787475586,47.75583267211914,39.21266174316406,73.88702392578125,40.21548080444336,228.04556274414065,61.50407791137695,50.23002624511719,50.45335388183594,143.9033203125,11.970000267028809,55.72807693481445,107.0488739013672,96.7038803100586,79.0873031616211,30.255455017089844,97.07547760009766,47.99581909179688,64.54498291015625,44.9427490234375,128.05987548828125,118.3730010986328,102.74362182617188,101.89195251464844,341.5521240234375,73.57976531982422,67.68489837646484,42.72575378417969,62.51644134521485,68.79915618896484,79.32756805419922,105.55941009521484,85.70411682128906,79.88306427001953,93.01213836669922,32.3094482421875,88.07695770263672,31.951135635375977,51.19448471069336,56.95027160644531,52.04998016357422,47.38103485107422,124.82408905029295,67.29080963134766,23.27113914489746,113.27893829345705,70.74748992919922,76.81761932373047,172.69827270507812,21.548490524291992,15.06999969482422,106.0182876586914,48.03189849853516,61.94157791137695,96.1752700805664,152.09837341308594,58.25481033325195,74.34675598144531,105.91218566894533,102.95816802978516,73.88165283203125,82.66943359375,97.7300796508789,46.79049301147461,48.369415283203125,46.378700256347656,45.48823547363281
2018-06-29,257.824951171875,258.3721618652344,133.49143981933594,236.8647003173828,168.28451538085938,39.82197570800781,59.19648742675781,98.76220703125,48.861473083496094,96.17620849609376,39.13170623779297,73.44561767578125,145.7631378173828,80.13243103027344,157.5072021484375,139.59300231933594,186.4199981689453,96.55020904541016,118.6500015258789,62.63024139404297,112.67674255371094,150.5724639892578,50.24365234375,149.42706298828125,76.17671966552734,175.7061004638672,25.0155086517334,104.56243896484376,50.83216094970703,72.54710388183594,67.00725555419922,59.32640075683594,73.09101104736328,75.82283782958984,48.174015045166016,39.253700256347656,73.83985900878906,40.8183822631836,228.65789794921875,61.57987976074219,50.315216064453125,50.50572967529297,144.05496215820312,12.020000457763672,56.29921722412109,107.0868148803711,96.8750228881836,79.24872589111328,30.44892883300781,97.1127700805664,47.97267532348633,64.94695281982422,44.96099472045898,128.0221710205078,118.46794891357422,102.79029846191406,101.93868255615234,341.9566650390625,73.40721130371094,67.8269271850586,42.73525238037109,62.55435943603516,69.13838958740234,79.51814270019531,105.74322509765624,85.71334075927734,79.8639144897461,93.02082061767578,32.38674545288086,88.03192138671875,31.997802734375,51.73833084106445,57.37659454345703,52.04998016357422,47.39617156982422,124.52204132080078,67.61406707763672,23.28058433532715,113.2885513305664,70.6994400024414,76.62284088134766,172.87527465820312,21.9218807220459,15.149999618530272,106.0470962524414,48.04123306274414,62.01498794555664,96.1752700805664,152.29937744140625,58.64741516113281,74.36511993408203,106.11531829833984,103.07014465332033,73.94994354248047,82.78168487548828,97.65388488769533,47.04703140258789,48.310882568359375,46.3976936340332,45.4790153503418
2018-07-02,258.376220703125,259.10076904296875,133.81463623046875,237.1400146484375,169.41197204589844,39.39497375488281,58.59864044189453,98.66819763183594,48.2845458984375,96.31514739990234,38.70515823364258,73.40006256103516,146.3079833984375,80.96774291992188,158.59402465820312,140.36961364746094,186.49655151367188,96.62619018554688,117.45999908447266,62.05976486206055,112.63033294677734,150.6775360107422,49.71427536010742,150.02220153808594,76.14012908935547,177.5464324951172,25.1378173828125,104.576171875,50.88610076904297,72.57035827636719,67.60527038574219,59.51617813110352,72.68719482421875,75.78631591796875,47.70937347412109,39.48543548583984,73.81526184082031,40.413307189941406,228.65789794921875,61.74096298217773,50.39093780517578,50.57000350952149,144.443603515625,11.899999618530272,55.6438102722168,107.12589263916016,96.83698272705078,79.49561309814453,30.14490127563477,96.9745101928711,47.96943283081055,63.98907852172852,44.88802337646485,128.3332977294922,118.80028533935548,102.69695281982422,101.90399932861328,341.9952087402344,73.47742462158203,67.97844696044922,43.324310302734375,62.72499465942383,68.89340209960938,79.5372085571289,105.88835144042967,85.60240173339844,79.85430908203125,93.01734161376952,32.55851364135742,87.98690032958984,32.063140869140625,51.32353591918945,56.93014526367188,52.110801696777344,47.405643463134766,125.26773834228516,67.41441345214844,23.241771697998047,113.8463363647461,71.12226104736328,76.78980255126953,173.74066162109375,21.69588279724121,14.90999984741211,106.04805755615234,47.98223876953125,62.26944732666016,96.19425201416016,152.959716796875,57.91829299926758,74.26475524902344,106.5699462890625,103.08881378173828,74.29150390625,82.70685577392578,97.58704376220705,46.58892440795898,48.613258361816406,46.3881950378418,45.42634582519531
